alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.911953887088,0.950985979804,0.7463233674,0.7463233674
2.0,0.9109903281,0.950058700735,0.745464718807,0.745464718807
3.0,0.910501927637,0.949610141217,0.744854575583,0.744854575583
4.0,0.91041618026,0.949392818947,0.744775297864,0.744775297864
5.0,0.910492411386,0.949457489052,0.744837623639,0.744837623639
6.0,0.910432698297,0.94938745982,0.744655686291,0.744655686291
7.0,0.909921552599,0.948847581753,0.74420333324,0.74420333324
8.0,0.909918008112,0.948824096995,0.74416387537,0.74416387537
9.0,0.9099028453,0.948780278781,0.744174049058,0.744174049058
10.0,0.90976789946,0.948676757659,0.744030744001,0.744030744001
11.0,0.90992894702,0.948795241711,0.744169451309,0.744169451309
12.0,0.909534718548,0.948390085925,0.743856306095,0.743856306095
13.0,0.9094804199,0.948347811858,0.74378779519,0.74378779519
14.0,0.909511592876,0.948335440272,0.743796877799,0.743796877799
15.0,0.909427748482,0.948318766798,0.743705142408,0.743705142408
16.0,0.909496879742,0.948406039087,0.743880272379,0.743880272379
17.0,0.909601999039,0.948478116184,0.744080026757,0.744080026757
