Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml10M_reduced/ml10M_top500.dat,0,510,5105,0.892398525,0.899018152
diffusion_norm,ml10M_reduced/ml10M_top500.dat,0,1,4419,0.893858954,0.899841241
regular,ml10M_reduced/ml10M_top500.dat,0,2,4222,0.893828637,0.899597355
diffusion,ml10M_reduced/ml10M_top500.dat,1,167,4490,0.888321048,0.931261436
regular,ml10M_reduced/ml10M_top500.dat,1,2,4366,0.889504012,0.931335917
diffusion_norm,ml10M_reduced/ml10M_top500.dat,1,1,4513,0.888954787,0.931538855
diffusion,ml10M_reduced/ml10M_top500.dat,2,214,4509,0.909296089,0.922017737
regular,ml10M_reduced/ml10M_top500.dat,2,2,4216,0.909167845,0.921982721
diffusion_norm,ml10M_reduced/ml10M_top500.dat,2,1,4563,0.909235694,0.922242572
diffusion,ml10M_reduced/ml10M_top500.dat,3,176,4575,0.894758436,0.947671983
diffusion_norm,ml10M_reduced/ml10M_top500.dat,3,1,4339,0.894285969,0.947138192
regular,ml10M_reduced/ml10M_top500.dat,3,2,4162,0.89346154,0.946453937
diffusion,ml10M_reduced/ml10M_top500.dat,4,190,4590,0.856734429,0.892163324
diffusion_norm,ml10M_reduced/ml10M_top500.dat,4,1,4643,0.85704663,0.892227076
regular,ml10M_reduced/ml10M_top500.dat,4,3,4470,0.856805354,0.89202869
