Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml10M_reduced/ml10M_top500.dat,0,181,4538,0.893669841,0.900559067
regular,ml10M_reduced/ml10M_top500.dat,0,2,4587,0.893828637,0.899597355
diffusion_norm,ml10M_reduced/ml10M_top500.dat,0,1,4554,0.894308456,0.900819576
diffusion,ml10M_reduced/ml10M_top500.dat,1,166,4594,0.889027307,0.932481315
regular,ml10M_reduced/ml10M_top500.dat,1,2,4604,0.889504012,0.931335917
diffusion_norm,ml10M_reduced/ml10M_top500.dat,1,1,4621,0.889646409,0.932040171
diffusion,ml10M_reduced/ml10M_top500.dat,2,516,5472,0.910452791,0.923286681
diffusion_norm,ml10M_reduced/ml10M_top500.dat,2,1,4542,0.909416739,0.92283765
regular,ml10M_reduced/ml10M_top500.dat,2,2,4520,0.909167845,0.921982721
diffusion,ml10M_reduced/ml10M_top500.dat,3,220,4503,0.895893046,0.948258786
diffusion_norm,ml10M_reduced/ml10M_top500.dat,3,1,4501,0.895102151,0.9482123
regular,ml10M_reduced/ml10M_top500.dat,3,2,4578,0.89346154,0.946453937
diffusion,ml10M_reduced/ml10M_top500.dat,4,182,4722,0.856492434,0.892359921
diffusion_norm,ml10M_reduced/ml10M_top500.dat,4,1,4743,0.857497393,0.892980743
regular,ml10M_reduced/ml10M_top500.dat,4,2,4803,0.856805354,0.89202869
