alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.0894622999561,0.919796527011,0.111480926897,0.9182672473,0.0293644500216,0.750782867552,0.0274400428438,0.717528880208,0.505723598884,0.915964341679,0.479844077815,0.914880914019,0.552060431043,0.746857402986,0.538517413595,0.713860745935,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1.0,-0.175204923897,0.922233106764,-0.203368494365,0.921161633102,-0.290386155009,0.753184205453,-0.360619627669,0.720314084677,0.857241356345,0.912728198426,0.801312205882,0.911925682969,0.896163911214,0.744273174165,0.873857088303,0.71145392649,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
2.0,-0.470477594762,0.924951446425,-0.62040344367,0.924995402373,-0.612613616191,0.755604144628,-0.794896885857,0.723431004709,0.980101481461,0.911597123376,0.959814109562,0.910468587518,1.0399118154,0.743193622524,1.03366091717,0.710306973141,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,-0.683437480999,0.926911998018,-0.903832831606,0.927600946296,-0.836262308823,0.757283753904,-1.06741741135,0.725386954898,0.905521768175,0.912283719233,0.897085736904,0.911045244481,0.992962290586,0.743546215049,0.965941005515,0.710793016436,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,-0.863633719636,0.928570920873,-1.12902244065,0.929671096543,-1.03025250011,0.758740626827,-1.30257677426,0.727074754374,0.777592724607,0.913461459767,0.736264456493,0.912523661779,0.875431533517,0.744428875026,0.800896143655,0.711977586031,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,-1.01406845462,0.929955853333,-1.29862769427,0.931230264211,-1.18602839914,0.759910509118,-1.48448420787,0.728380351002,0.619550658757,0.914916426847,0.534509012749,0.9143783836,0.758000840824,0.745310783515,0.63906713597,0.713139074611,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,-1.15613658995,0.931263761192,-1.45008724858,0.932622619902,-1.34765238941,0.761124310773,-1.63789080964,0.729481389799,0.435462039511,0.916611183742,0.294718948774,0.916582754673,0.554082065731,0.746842220441,0.408534104221,0.714793669714,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,-1.25979044275,0.932218019432,-1.57992699249,0.933816226388,-1.46208128204,0.761983675643,-1.78258722031,0.730519913305,0.225262485904,0.918546323156,0.0694959458165,0.918653211907,0.300402829577,0.748747360118,0.141916502653,0.716707253093,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,-1.35667625107,0.933109969691,-1.70200650145,0.934938493649,-1.55591002062,0.762688332655,-1.91525032019,0.731472070633,0.0279729588453,0.920362610266,-0.160040028584,0.920763317947,0.105961453955,0.750207621451,-0.114870530076,0.71855027994,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,-1.47077995773,0.934160431389,-1.7979859582,0.935820825196,-1.66545013757,0.763510982653,-2.0067428636,0.732128736244,-0.169494237363,0.922180533034,-0.342724009474,0.922442717319,-0.139986230906,0.752054696916,-0.351697647646,0.720250049323,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,-1.6005918459,0.93535550577,-1.9194749587,0.936937663958,-1.7996138832,0.764518556938,-2.13779379288,0.733069322607,-0.441313675169,0.92468295751,-0.573728567476,0.924566323932,-0.423544777523,0.754184231229,-0.61322851971,0.72212712393,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,-4.20355112969,0.959318873041,-4.83825113948,0.963769742298,-4.31468386144,0.783406817876,-5.14715259833,0.754668267905,-3.85298157632,0.956091459145,-3.77923392908,0.954034280929,-4.09019049484,0.78172086507,-4.2507326128,0.748234430173,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1000.0,-6.74446553806,0.982711042696,-8.53364289595,0.997741186138,-6.6238000052,0.800748358523,-8.77640236603,0.780716330723,-4.08208196651,0.958200603467,-4.0457405834,0.956484255502,-4.35302010579,0.783694724373,-4.60010376025,0.750741957122,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10000000000.0,-8.88333735244,1.00240192728,-11.6657890067,1.02653475735,-8.44094529293,0.814395181336,-11.6879675148,0.801613385692,-4.00984578884,0.95753558267,-3.99453283516,0.956013506727,-4.48507329884,0.784686448337,-4.76352619166,0.751914882115,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
