threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.05,0.907105096016,0.945440645151,0.740588202703,0.740588202703
0.075,0.906024141326,0.944561696436,0.739691594411,0.739691594411
0.1,0.90666864952,0.94536609937,0.740412967221,0.740412967221
0.125,0.90790460553,0.946497873138,0.741821571564,0.741821571564
0.15,0.908552410857,0.947173712067,0.74268177856,0.74268177856
0.2,0.909135807062,0.947895392565,0.743421703376,0.743421703376
0.3,0.910645084738,0.949376284787,0.745022363491,0.745022363491
0.4,0.911384302653,0.950264498793,0.745720015859,0.745720015859
0.5,0.911874925075,0.950820820913,0.746186930473,0.746186930473
0.6,0.911963242895,0.950907329646,0.746247530462,0.746247530462
0.7,0.912080733781,0.951020922193,0.746417933231,0.746417933231
0.8,0.912080733781,0.951020922193,0.746417933231,0.746417933231
0.9,0.912080733781,0.951020922193,0.746417933231,0.746417933231
1.0,0.912080733781,0.951020922193,0.746417933231,0.746417933231
