alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.908008316059,0.946871821066,0.742219472277,0.742219472277
2.0,0.906884509208,0.945481229603,0.740841766452,0.740841766452
3.0,0.906683049438,0.945079888001,0.740158102638,0.740158102638
4.0,0.907105096016,0.945440645151,0.740588202703,0.740588202703
5.0,0.908621503507,0.946865376137,0.741463885861,0.741463885861
6.0,0.909462958341,0.947694136284,0.741796309384,0.741796309384
7.0,0.91063562127,0.948939968841,0.742598609781,0.742598609781
8.0,0.912059675749,0.950443065848,0.743762383123,0.743762383123
9.0,0.913390861324,0.951694977645,0.744887943045,0.744887943045
10.0,0.914397308011,0.952757235101,0.745725021841,0.745725021841
11.0,0.915508357479,0.953995603086,0.746834144372,0.746834144372
12.0,0.91685154158,0.95542965162,0.748044709926,0.748044709926
