alpha_nL,diffusion_cosine_similarity_useruserCF_RMSE.ByUser_improvement,diffusion_cosine_similarity_useruserCF_RMSE.ByUser_average,diffusion_cosine_similarity_useruserCF_RMSE.ByRating_improvement,diffusion_cosine_similarity_useruserCF_RMSE.ByRating_average,diffusion_cosine_similarity_useruserCF_MAE.ByUser_improvement,diffusion_cosine_similarity_useruserCF_MAE.ByUser_average,diffusion_cosine_similarity_useruserCF_MAE.ByRating_improvement,diffusion_cosine_similarity_useruserCF_MAE.ByRating_average,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByUser_average,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_useruserCF_RMSE.ByRating_average,diffusion_norm_cosine_similarity_useruserCF_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_useruserCF_MAE.ByUser_average,diffusion_norm_cosine_similarity_useruserCF_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_useruserCF_MAE.ByRating_average,regular_cosine_similarity_useruserCF_RMSE.ByUser_improvement,regular_cosine_similarity_useruserCF_RMSE.ByUser_average,regular_cosine_similarity_useruserCF_RMSE.ByRating_improvement,regular_cosine_similarity_useruserCF_RMSE.ByRating_average,regular_cosine_similarity_useruserCF_MAE.ByUser_improvement,regular_cosine_similarity_useruserCF_MAE.ByUser_average,regular_cosine_similarity_useruserCF_MAE.ByRating_improvement,regular_cosine_similarity_useruserCF_MAE.ByRating_average
0.5,-0.384519349413,0.904854470178,-0.469264828548,0.942735243202,-0.604640387736,0.746083728742,-0.604640387736,0.746083728742,-0.322546412602,0.904295853279,-0.40852632799,0.942165314426,-0.551824786498,0.745692048393,-0.551824786498,0.745692048393,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
1.0,-0.413559520997,0.905116234932,-0.490429287635,0.94293383609,-0.624079061324,0.74622788589,-0.624079061324,0.74622788589,-0.293921919165,0.904037835399,-0.37965063226,0.941894364538,-0.515700822417,0.745424153177,-0.515700822417,0.745424153177,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
2.0,-0.424764499864,0.905217235318,-0.508907993647,0.943107227698,-0.627519309793,0.746253398763,-0.627519309793,0.746253398763,-0.281608570106,0.903926844292,-0.368249675074,0.941787385711,-0.507987883867,0.745366954047,-0.507987883867,0.745366954047,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
3.0,-0.42064496086,0.905180102269,-0.507399439768,0.943093072455,-0.621806828019,0.746211035015,-0.621806828019,0.746211035015,-0.273275689395,0.903851732667,-0.355646177414,0.941669123061,-0.509488644061,0.74537808368,-0.509488644061,0.74537808368,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
4.0,-0.440208836413,0.905356448785,-0.5288047351,0.943293925186,-0.627110114941,0.746250364176,-0.627110114941,0.746250364176,-0.239672182474,0.903548834534,-0.330661843409,0.941434687065,-0.471283355235,0.745094753366,-0.471283355235,0.745094753366,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
5.0,-0.419212534068,0.90516719054,-0.510795172959,0.943124935705,-0.61121301644,0.746132471338,-0.61121301644,0.746132471338,-0.247334482675,0.903617901624,-0.335053608931,0.941475896405,-0.477299330071,0.745139367818,-0.477299330071,0.745139367818,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
6.0,-0.440012803389,0.905354681766,-0.5326406214,0.943329918534,-0.644583530498,0.746379946976,-0.644583530498,0.746379946976,-0.254249558367,0.903680233318,-0.337028193664,0.941494424566,-0.475206444121,0.745123846982,-0.475206444121,0.745123846982,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
7.0,-0.465087406329,0.905580701343,-0.551096080049,0.943503092005,-0.666602108292,0.746543236687,-0.666602108292,0.746543236687,-0.267427602679,0.903799018688,-0.35120361309,0.941627437059,-0.481452025941,0.745170164199,-0.481452025941,0.745170164199,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
8.0,-0.468124449634,0.905608076901,-0.551245833022,0.943504497185,-0.664275930506,0.746525985759,-0.664275930506,0.746525985759,-0.255771529963,0.903693952194,-0.330873257555,0.941436670832,-0.479233225205,0.745153709579,-0.479233225205,0.745153709579,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
9.0,-0.463841061016,0.90556946693,-0.553184032057,0.943522683926,-0.655202786402,0.746458699348,-0.655202786402,0.746458699348,-0.294267181381,0.904040947553,-0.362857172442,0.941736786134,-0.516625178457,0.745431008199,-0.516625178457,0.745431008199,0.0,0.901388457147,0.0,0.938331981239,0.0,0.741599717336,0.0,0.741599717336
