alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.245047240584,0.918364180721,0.232396749582,0.917155677716,0.249743094845,0.749127816446,0.233292295957,0.716051425427,0.328560818473,0.917595337907,0.331826711135,0.916241625951,0.370453796169,0.74822127498,0.374141691327,0.715040512943,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1.0,0.131826389436,0.919406514673,0.109622280227,0.918284333692,0.0496703078918,0.75063036987,0.0232560095903,0.717558910095,0.471622793653,0.916278280558,0.54112819347,0.914317533995,0.544270230524,0.746915907656,0.60767040556,0.713364417053,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
2.0,-0.108712864679,0.921620967479,-0.206502029223,0.92119043944,-0.205564614678,0.752547192805,-0.30404997266,0.719908069654,0.662501867151,0.914521009374,0.755828321682,0.912343812715,0.744455361255,0.745412510527,0.843828427149,0.711669449945,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,-0.292387283316,0.92331191116,-0.439514644171,0.923332505961,-0.352086361157,0.753647576096,-0.489438934397,0.721238654109,0.773710316203,0.913497202,0.829383247699,0.911667628104,0.849377907959,0.744624538638,0.907731525926,0.711210800903,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,-0.426643902519,0.924547904629,-0.573902079868,0.924567919017,-0.473318925588,0.754558036772,-0.616083412038,0.72214761423,0.809549167598,0.913167262318,0.820123260318,0.911752754435,0.874362381427,0.744436904394,0.905474330383,0.711227001378,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,-0.49953453048,0.925218950426,-0.646326635546,0.925233712223,-0.551562365074,0.755145647659,-0.694503219899,0.722710453442,0.784279997762,0.913399895384,0.79890354238,0.911947825622,0.812491974752,0.744901553249,0.847188336893,0.711645335005,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,-0.548862444949,0.925673073139,-0.722532770551,0.925934269189,-0.605316659105,0.755549344232,-0.772168801384,0.723267879377,0.743498663442,0.913775336559,0.730895776533,0.912573015629,0.753885535745,0.745341689596,0.788094343713,0.712069467855,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,-0.63587077222,0.926474089319,-0.794710604096,0.926597794298,-0.696285835833,0.756232525838,-0.84749889833,0.723808542937,0.65580338798,0.914582676922,0.591134586258,0.913857829186,0.673557867919,0.745944953109,0.657498648398,0.713006786886,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,-0.717072859235,0.927221652082,-0.883786787167,0.927416664597,-0.769584272814,0.756782999589,-0.928478451158,0.7243897541,0.59743211661,0.915120054599,0.46670921717,0.915001661753,0.613974453189,0.746392426577,0.522695536298,0.713974303634,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,-0.779228932931,0.927793873412,-0.962455179496,0.928139856899,-0.820369368998,0.757164397386,-1.00702147531,0.724953477668,0.506667852371,0.915955648691,0.336447203226,0.916199150133,0.494728309182,0.747287969168,0.383701599646,0.714971899012,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,-0.835016695824,0.92830746679,-1.02463193715,0.928711442909,-0.871039075341,0.757544928601,-1.0651584338,0.725370741632,0.379329917366,0.91712794736,0.183772896049,0.917602672951,0.359519837379,0.748303389382,0.199069586288,0.716297050652,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,-1.63056615432,0.935631455288,-2.03949465511,0.938040995525,-1.60598271899,0.76306438032,-2.07680477331,0.732631588663,-3.03344779306,0.948546666124,-3.31009042017,0.949721481796,-3.59727838212,0.778019078366,-3.89858404619,0.74570696897,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1000.0,-1.86492422462,0.937789002871,-2.34445936176,0.940844511928,-1.8586966414,0.764962270459,-2.39231456442,0.734896083913,-3.2373561595,0.950423887602,-3.58927046693,0.952287961862,-3.8635100446,0.780018487192,-4.24990113945,0.748228462474,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10000000000.0,-1.91595078049,0.938258763619,-2.39716040342,0.941328988432,-1.91474750697,0.765383214362,-2.44733641695,0.735290989958,-3.25413883551,0.950578392297,-3.48545742093,0.951333616749,-3.79423772938,0.779498249752,-4.24738199464,0.748210381921,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
