alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.264062233794,0.918189124864,0.268514934722,0.916823646099,0.298233355973,0.748763652938,0.279819386661,0.715717488481,0.355848698433,0.91734412019,0.353806557419,0.916039566965,0.396398181666,0.748026431764,0.404918307999,0.714819621217,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1.0,0.202399535947,0.918756804077,0.187013594686,0.917572881466,0.146211469156,0.74990534247,0.104739378039,0.716974082917,0.49918674824,0.916024521242,0.582323284602,0.913938830784,0.58491500389,0.746610664028,0.658230107219,0.713001537017,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
2.0,0.0489454593501,0.920169533204,-0.0481542018492,0.9197347604,-0.025312791797,0.751193495494,-0.136044512414,0.71870225108,0.736408929115,0.913840606081,0.803211421066,0.911908223634,0.817139145383,0.74486665284,0.884083779423,0.711380526886,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,-0.15274467121,0.922026333156,-0.250194211289,0.92159209821,-0.220658593144,0.752660549096,-0.303118245624,0.719901382409,0.85764673811,0.9127244664,0.894346234132,0.911070428513,0.925322969232,0.74405418865,0.975180266916,0.71072670387,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,-0.243666702314,0.922863379681,-0.34562001554,0.922469340074,-0.304350377079,0.753289077235,-0.3909548349,0.720531808293,0.8566894336,0.912733279538,0.907586207523,0.910948714486,0.905417986979,0.744203675742,0.981292075657,0.710682837841,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,-0.299281460499,0.923375380343,-0.406990558453,0.923033514616,-0.363739250994,0.753735089694,-0.461360237637,0.721037126051,0.856591147903,0.912734184376,0.863042662246,0.911358199771,0.897469275377,0.744263370836,0.928441918963,0.711062157064,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,-0.349738053548,0.923839893898,-0.413967068946,0.923097649124,-0.447757538465,0.754366069886,-0.497864599764,0.721299127285,0.822057349557,0.913052109477,0.800968741959,0.911928840406,0.845262600247,0.744655444739,0.855323809062,0.711586944621,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,-0.38326963236,0.924148592364,-0.461815844059,0.923537519126,-0.490728079609,0.754688780109,-0.539093545736,0.721595038077,0.727855998519,0.913919346082,0.650638915698,0.913310810596,0.763474122463,0.745269678984,0.716673903005,0.712582070802,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,-0.443977057356,0.924707477142,-0.515656938632,0.924032476045,-0.53396197988,0.755013468168,-0.581148694336,0.721896878739,0.662174541095,0.914524022804,0.54178679709,0.914311479504,0.685285577094,0.745856877615,0.581698802734,0.713550821953,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,-0.496221893482,0.925188453623,-0.565155405384,0.924487511531,-0.574578913377,0.755318502718,-0.626495445882,0.722222344086,0.589886473869,0.915189521306,0.407600581733,0.915545042758,0.593482593672,0.746546321138,0.4487061303,0.714505344708,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,-0.427844695871,0.924558959374,-0.572137439811,0.924551696821,-0.537502781688,0.75504005971,-0.657402535593,0.72244417225,0.437228948071,0.916594917226,0.26044932524,0.916897792609,0.418110720163,0.747863369863,0.267865319204,0.715803285911,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,-1.16456942448,0.931341395565,-1.41761678827,0.932324121532,-1.24952103926,0.760387341002,-1.52593114718,0.728677826388,-2.86872002517,0.947030149125,-3.06790383512,0.947495079694,-3.42966901879,0.776760326356,-3.63715573487,0.743830630467,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1000.0,-1.37415836406,0.933270913543,-1.65949491932,0.93454768804,-1.45077350727,0.76189875387,-1.76413110441,0.730387448995,-3.03084760657,0.948522728284,-3.31112585816,0.949731000495,-3.64390931906,0.778369278286,-3.96992857321,0.746219027065,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10000000000.0,-1.39423081575,0.933455704575,-1.68419831496,0.9347747844,-1.4600199663,0.761968195091,-1.78897156928,0.730565735427,-3.3699989301,0.951645023656,-3.46437868855,0.951139841631,-3.77151882416,0.779327630002,-4.10807862436,0.747210565658,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
