alpha_nL,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.28373880553,0.995640723268,-0.30464365968,1.00495960308,-0.290558237834,0.819864924449,-0.31726474634,0.796572264755,-1.16217644254,1.00436206029,-1.08456115542,1.01277365384,-1.2226892034,0.827484998532,-1.21622032914,0.803710448659,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1.0,-0.191469046313,0.994724647234,-0.00617711696509,1.00196924483,-0.204387421645,0.819160486953,-0.0101809622181,0.79413385671,-1.74470583917,1.01014555019,-1.64733909262,1.01841216739,-1.81987743133,0.832366950433,-1.85957825721,0.80881905168,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
2.0,-0.0632814124879,0.993451970028,0.209008528264,0.999813284026,0.02090844437,0.817318716587,0.255954022583,0.792020603841,-2.47688263281,1.0174147749,-2.22867012358,1.02423656575,-2.54442282981,0.838290034009,-2.47521596657,0.81370754147,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
3.0,0.0714462318191,0.992114362049,0.347385969338,0.998426870265,0.151414880508,0.816251839991,0.39894155949,0.790885206993,-2.96625890449,1.02227341849,-2.47236689212,1.0266781816,-3.07668745838,0.84264124221,-2.76548846617,0.816012459003,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
4.0,0.0960038768454,0.991870547929,0.494413334715,0.996953792276,0.158757475447,0.816191815038,0.576808305052,0.789472850739,-3.12972163254,1.02389631519,-2.49357379295,1.0268906551,-3.18663007401,0.843540011704,-2.75281519999,0.815911826551,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
5.0,0.108830384862,0.991743203318,0.52415352107,0.996655823161,0.14645393412,0.816292395213,0.631271462443,0.789040384396,-3.32141749337,1.02579951713,-2.52684551155,1.0272240069,-3.45098933206,0.845701121254,-2.85139795121,0.816694625859,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
6.0,0.175521342134,0.991081079691,0.628333178249,0.995612039513,0.201089455778,0.815845755483,0.73923719768,0.78818307922,-3.37802334817,1.02636151347,-2.47710829035,1.02672568602,-3.53566855946,0.846393365166,-2.77360272632,0.81607689053,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
7.0,0.157222997179,0.991262749996,0.657144524108,0.995323376519,0.176770398886,0.816044561254,0.764837372131,0.787979800263,-3.28030171835,1.02539130997,-2.36762990622,1.02562881403,-3.46731925682,0.845834616697,-2.67804335011,0.815318098423,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
8.0,0.188560794671,0.990951620916,0.745592056457,0.994437214186,0.227597910891,0.815629051609,0.884449652716,0.787030015344,-3.3136776948,1.02572267457,-2.33006847174,1.02525248326,-3.45713390422,0.845751352494,-2.57453787111,0.814496210047,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
9.0,0.144521960335,0.991388848899,0.781638854223,0.994076058668,0.15618119231,0.816212875885,0.889125046586,0.786992890238,-3.31778187497,1.02576342184,-2.25841720767,1.02453460397,-3.40216396722,0.845301978954,-2.46533267427,0.813629062889,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
10.0,0.173506180577,0.991101086692,0.793280766934,0.993959417488,0.213534964861,0.815744014736,0.902489915313,0.786886766095,-3.29664733899,1.02555359316,-2.16695541233,1.02361824152,-3.37983098234,0.845119409116,-2.37921379523,0.812945233334,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
100.0,0.469813549522,0.988159276917,1.53618448689,0.986516210471,0.467886004612,0.813664721334,1.75866784516,0.780088259434,2.35098745796,0.969482536569,3.6494420066,0.965343327933,2.61787544329,0.796088780392,4.41299233071,0.759011515842,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1000.0,1.17387222911,0.981169215504,2.20992723854,0.979765932283,1.21482094785,0.807558605549,2.56420181854,0.773691892635,4.02691779874,0.952843502998,4.65580855356,0.955260467472,4.38259249581,0.781662401295,5.40903565267,0.751102403819,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
10000000000.0,1.23319202163,0.980580274547,2.31446215487,0.978718589267,1.40660901377,0.805990757977,2.74659620434,0.772243584517,4.19042350309,0.951220179619,4.81064040001,0.953709195814,4.69991691559,0.779068307035,5.60901879562,0.749514431644,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
