alpha_nL,diffusion_abs_cosine_similarity_RMSE.ByUser_improvement,diffusion_abs_cosine_similarity_RMSE.ByUser_average,diffusion_abs_cosine_similarity_RMSE.ByRating_improvement,diffusion_abs_cosine_similarity_RMSE.ByRating_average,diffusion_abs_cosine_similarity_MAE.ByUser_improvement,diffusion_abs_cosine_similarity_MAE.ByUser_average,diffusion_abs_cosine_similarity_MAE.ByRating_improvement,diffusion_abs_cosine_similarity_MAE.ByRating_average,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
2.0,0.435737260939,0.916608649998,0.389675588872,0.915709825798,0.453581984949,0.74759697946,0.421201447175,0.714702752922,-0.203690015185,0.92249534625,-0.320220984622,0.922235848793,-0.313045634171,0.753354378911,-0.461959791421,0.721041429203,0.882553128214,0.912495173158,0.86854013576,0.911307661932,0.91852565439,0.744105236715,0.938405883619,0.710990643116,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,0.432693364616,0.91663667272,0.391736783465,0.9156908774,0.475349415339,0.747433505318,0.443223854178,0.71454469242,-0.39188220873,0.924227881477,-0.551109640971,0.924358389931,-0.508441368888,0.754821807513,-0.668752265491,0.722525632193,1.01833911587,0.911245100015,0.967930418299,0.910393974934,1.04803733677,0.743132599583,1.04486375704,0.710226567466,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,0.430694973479,0.916655070312,0.384299090729,0.91575925152,0.465817599297,0.747505089581,0.435367132634,0.714601082139,-0.490012025654,0.92513128433,-0.686504373987,0.925603062992,-0.614200370476,0.755616061206,-0.820060341204,0.723611609326,1.01665638296,0.911260591593,0.927505905602,0.910765594279,1.04099896858,0.743185457967,1.0020915134,0.710533554905,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,0.527496980048,0.915763891548,0.417580088518,0.915453301942,0.521622698549,0.74708599139,0.437605016802,0.714585020267,-0.607868862812,0.926216298103,-0.770502683425,0.9263752528,-0.766160560828,0.756757287396,-0.940967531513,0.724479391455,1.01649365373,0.911262089711,0.904495505251,0.910977127067,1.02602363024,0.743297923266,0.973541235373,0.710738467623,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,0.520958699236,0.915824084278,0.412904569668,0.915496283617,0.504633571947,0.747213580308,0.428522634195,0.714650206872,-0.70096220278,0.927073334135,-0.884338503966,0.927421736486,-0.849100044274,0.757380165733,-1.04511781814,0.725226904958,0.950648506454,0.911868273395,0.751512314508,0.912383489428,0.952843402443,0.743847509262,0.819986547491,0.711840569273,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,0.512484375208,0.915902100611,0.402429186044,0.915592582989,0.487633357071,0.747341252499,0.419111044392,0.714717756282,-0.758239126265,0.927600637025,-0.93904891072,0.927924684923,-0.901480133342,0.75777354198,-1.10653243796,0.725667693545,0.869599929588,0.912614422912,0.616435326324,0.913625241485,0.840052411654,0.744694573432,0.65491033876,0.713025363853,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,0.509440772185,0.915930120633,0.393344729966,0.915676095675,0.482211665566,0.747381969586,0.412923470209,0.7147621661,-0.836727172601,0.928323213783,-1.01645974482,0.928636316592,-0.987647992096,0.758420665525,-1.19401552412,0.726295582246,0.737065672107,0.913834559972,0.448289009089,0.915170997267,0.70298270078,0.745723971615,0.472450798594,0.714334923092,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,0.500319913418,0.916014089095,0.380575500226,0.915793482193,0.472609714421,0.747454080565,0.406350533363,0.714809341765,-0.904313722515,0.92894542917,-1.09905241405,0.929395584461,-1.04972631264,0.758886875821,-1.27758199398,0.726895360381,0.567899536998,0.915391937474,0.252384635337,0.916971930664,0.517052815933,0.747120311364,0.266271035221,0.715814728498,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,0.485622551687,0.916149395967,0.370425859738,0.915886787034,0.455944198373,0.747579239157,0.396129244166,0.714882702598,-0.973615812188,0.929583438162,-1.18000364555,0.930139762723,-1.12230661389,0.759431956347,-1.3560528593,0.727458566046,0.438347954905,0.916584615424,0.105119348146,0.91832572879,0.362065661352,0.748284270158,0.0917958454132,0.717066981993,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,0.51634801728,0.915866531144,0.368262616066,0.915906673562,0.46898664799,0.747481289917,0.385482836924,0.714959114612,-2.14610746861,0.940377632432,-2.55162485428,0.942748967899,-2.16828034735,0.767287254602,-2.76937014576,0.737602309193,-2.87453364808,0.947083670508,-3.08681428596,0.947668921971,-3.39283322862,0.776483688321,-3.66593096693,0.744037157739,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
