Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion,ml-100k/u.data,0,153,7898,0.901686321,0.926790488
diffusion_norm,ml-100k/u.data,0,1,7905,0.901620373,0.926801263
regular,ml-100k/u.data,0,2,1717,0.901699272,0.926767236
diffusion,ml-100k/u.data,1,446,8532,0.933170595,0.955748874
regular,ml-100k/u.data,1,3,1703,0.933090461,0.95578175
diffusion_norm,ml-100k/u.data,1,1,7982,0.933136348,0.955689674
diffusion,ml-100k/u.data,2,172,8311,0.912792778,0.909452162
regular,ml-100k/u.data,2,2,1834,0.912763567,0.90946409
diffusion_norm,ml-100k/u.data,2,1,8285,0.912826616,0.909488454
diffusion,ml-100k/u.data,3,168,7824,0.902003541,0.896268751
diffusion_norm,ml-100k/u.data,3,1,7778,0.901965671,0.896217015
regular,ml-100k/u.data,3,2,1685,0.90207502,0.896374798
diffusion,ml-100k/u.data,4,239,8343,0.931583257,0.933524946
regular,ml-100k/u.data,4,2,2009,0.931641699,0.933625319
diffusion_norm,ml-100k/u.data,4,1,8150,0.931599634,0.933578415
