threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.05,0.90970868204,0.949106937297,0.74204821171,0.74204821171
0.075,0.907638661512,0.946631925359,0.740387040865,0.740387040865
0.1,0.906913481651,0.945907764062,0.739704395314,0.739704395314
0.125,0.907062201369,0.946032779938,0.740066868924,0.740066868924
0.15,0.907359756201,0.946285521797,0.740716912064,0.740716912064
0.2,0.907901957563,0.946685686916,0.741766894316,0.741766894316
0.3,0.908785313558,0.947643349554,0.742967345115,0.742967345115
0.4,0.909744251227,0.948622362855,0.744084502635,0.744084502635
0.5,0.910410572628,0.949382988256,0.744713684719,0.744713684719
0.6,0.91041618026,0.949392818947,0.744775297864,0.744775297864
0.7,0.91041618026,0.949392818947,0.744775297864,0.744775297864
0.8,0.91041618026,0.949392818947,0.744775297864,0.744775297864
0.9,0.91041618026,0.949392818947,0.744775297864,0.744775297864
1.0,0.91041618026,0.949392818947,0.744775297864,0.744775297864
