alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.908899764508,0.948023261431,0.743196287044,0.743196287044
2.0,0.907208407346,0.946393966468,0.740742868959,0.740742868959
3.0,0.906579419503,0.945600729343,0.739989169619,0.739989169619
4.0,0.906913481651,0.945907764062,0.739704395314,0.739704395314
5.0,0.90746096148,0.946328124689,0.740065394549,0.740065394549
6.0,0.907911326262,0.946724148016,0.740339649105,0.740339649105
7.0,0.908160647752,0.946959650629,0.740579052163,0.740579052163
8.0,0.908663727268,0.947356501282,0.741005645383,0.741005645383
9.0,0.909311820211,0.947917268858,0.74147886417,0.74147886417
10.0,0.909374501908,0.948052596809,0.74152776923,0.74152776923
11.0,0.909528598265,0.948167122369,0.741565620856,0.741565620856
12.0,0.909661948804,0.948351984486,0.74177817104,0.74177817104
13.0,0.90986348154,0.948535441134,0.741864554375,0.741864554375
14.0,0.909855250537,0.948415199809,0.741801741232,0.741801741232
15.0,0.910376053754,0.94899513352,0.742174404573,0.742174404573
16.0,0.910736791158,0.949385759141,0.742649280676,0.742649280676
17.0,0.91098358631,0.949664184762,0.742758101822,0.742758101822
