alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.119366255468,0.921430498177,0.0616197548117,0.926386860213,-0.0451927498329,0.753188632536,-0.0736672136348,0.722557188518,0.667658861843,0.916372325131,0.636099537244,0.921061673627,0.763469374199,0.747100632677,0.732846752575,0.716733953693,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
1.0,0.00273479440522,0.922506460366,-0.107730257655,0.927956663786,-0.142104910122,0.753918234184,-0.287526590066,0.724101307306,0.950927364757,0.913759083425,0.939882159426,0.918245736158,1.09953977325,0.744570532056,1.04572917278,0.714474863483,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
2.0,-0.214642195941,0.924511831988,-0.37086929437,0.930395852268,-0.355609642707,0.755525601147,-0.66120753015,0.726799378207,1.20105676005,0.911451560488,1.17848457386,0.916033991871,1.38975839769,0.742385625787,1.25175053065,0.712987337171,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
3.0,-0.466540494086,0.926835673614,-0.601544336649,0.93253411314,-0.593342387677,0.757315368313,-0.942325910287,0.728829124014,1.23669657369,0.911122771913,1.06836128075,0.917054788601,1.42743959976,0.74210194346,1.13619087094,0.713821707142,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
4.0,-0.538590853128,0.927500361009,-0.740176552156,0.933819175621,-0.645756565047,0.757709967608,-1.10465137461,0.730001154923,1.11031188094,0.912288710754,0.860499150433,0.91898158335,1.28595814265,0.743167084345,0.868201584392,0.715756657573,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
5.0,-0.712221359037,0.929102157449,-0.899115058988,0.935292468904,-0.823273310583,0.759046399586,-1.29212258973,0.731354744512,0.958537410757,0.913688878339,0.622275693809,0.921189814857,1.13134674416,0.744331073785,0.594386660811,0.717733670576,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
6.0,-0.876355520522,0.930616347102,-1.03705531916,0.936571117249,-0.979740769101,0.760224362343,-1.45444751385,0.732526771521,0.777328080428,0.915360591836,0.342624623279,0.923782062966,0.995606658056,0.745352990851,0.304058331425,0.719829914546,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
7.0,-0.979483302288,0.93156773357,-1.15276960966,0.937643740179,-1.09694161005,0.761106706999,-1.58200175991,0.733447745439,0.546486472916,0.917490178818,0.048017406357,0.926512948277,0.800970632332,0.746818305055,0.00291540592163,0.722004242635,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
8.0,-1.08667522216,0.932556612999,-1.25061132616,0.938550691846,-1.19968765881,0.761880228983,-1.69373998823,0.734254523709,0.326451920025,0.919520067297,-0.221158943994,0.929008100124,0.54109947942,0.748774740871,-0.312868505459,0.724284282345,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
9.0,-1.19142871614,0.933522997177,-1.34285315371,0.939405734892,-1.29541926035,0.762600942813,-1.80185936027,0.735035172921,0.10258277155,0.921585331135,-0.508200707253,0.931668856854,0.302166346156,0.750573545141,-0.613390777425,0.726454129158,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
10.0,-1.24966706274,0.93406026438,-1.4304103398,0.940217353276,-1.36824012413,0.76314917352,-1.89945771669,0.73573985774,-0.102826371755,0.923480295575,-0.748618134916,0.933897425552,0.0958419460781,0.752126855085,-0.867541493509,0.72828916161,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
100.0,-3.33547414397,0.953302495691,-3.66814537389,0.960960218301,-3.57504365208,0.779763058564,-4.44046552598,0.75408657681,-3.00902909964,0.950290936707,-3.61784759161,0.960493978959,-3.11859775879,0.776326712961,-4.02213029011,0.751066090599,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
1000.0,-5.78856040562,0.97593299383,-7.21313239907,0.993820760884,-5.920336374,0.797419557288,-7.79370139993,0.77829778794,-3.36755958295,0.953598494033,-3.77646087213,0.961964257531,-3.60823913913,0.780012970257,-4.26833625276,0.752843759921,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
10000000000.0,-8.37570991647,0.999800267928,-11.2256029397,1.03101467954,-8.27518371696,0.815147987823,-11.5080081502,0.805116022122,-3.42626408464,0.954140061665,-3.81224781765,0.962295987503,-3.7508303091,0.781086465598,-4.48632988912,0.754417729112,0.0,0.922531689711,0.0,0.926958049491,0.0,0.752848399642,0.0,0.722025292603
