threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.1,0.932225651035,0.971371279279,0.767282289475,0.767282289475
0.2,0.927824692479,0.9669736201,0.763574899144,0.763574899144
0.3,0.926891224386,0.966039564013,0.762997622077,0.762997622077
0.4,0.926651653467,0.965986504127,0.763009311152,0.763009311152
0.5,0.926468190547,0.965801873459,0.762875463435,0.762875463435
0.6,0.926332208683,0.965733989889,0.762675408942,0.762675408942
0.7,0.9262660921,0.965671049501,0.762677516764,0.762677516764
0.8,0.9262660921,0.965671049501,0.762677516764,0.762677516764
0.9,0.9262660921,0.965671049501,0.762677516764,0.762677516764
1.0,0.9262660921,0.965671049501,0.762677516764,0.762677516764
