alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.904260179247,0.943690120837,0.738008045712,0.738008045712
2.0,0.903548950025,0.942922308975,0.737371061998,0.737371061998
3.0,0.902805804562,0.942122607162,0.736631510642,0.736631510642
4.0,0.901990302111,0.941308554461,0.736100669961,0.736100669961
5.0,0.901527317281,0.940854549696,0.735589232703,0.735589232703
6.0,0.901261176626,0.940468264425,0.735410595049,0.735410595049
7.0,0.900911115683,0.940054683714,0.735100022617,0.735100022617
8.0,0.900853130382,0.940090046682,0.735186975923,0.735186975923
9.0,0.901165363975,0.940407418081,0.735363781892,0.735363781892
10.0,0.901607987312,0.940750998562,0.73551460808,0.73551460808
11.0,0.902293578142,0.941384620496,0.735890958871,0.735890958871
12.0,0.902841720219,0.941975788844,0.736357911384,0.736357911384
