Algorithm,DataSet,Partition,BuildTime,TestTime,RMSE.ByUser,RMSE.ByRating
diffusion_norm,ml-100k/u.data,2,683,10888,1.1847203791725482,1.133089672995746
diffusion_norm,ml-100k/u.data,4,114,9916,1.2156627074024406,1.1155114656800045
diffusion_norm,ml-100k/u.data,1,98,9935,1.197450118368479,1.127247620209469
diffusion_norm,ml-100k/u.data,3,89,10253,1.1922491184537918,1.134901311349421
diffusion_norm,ml-100k/u.data,0,102,10458,1.1824242388931752,1.1192105850482896
