threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.1,0.908237064387,0.946750827724,0.740774005716,0.740774005716
0.2,0.90858106451,0.947101345216,0.742863226525,0.742863226525
0.3,0.91018687669,0.94888378156,0.744395064582,0.744395064582
0.4,0.911036216306,0.949912892628,0.745172909369,0.745172909369
0.5,0.911332801877,0.950300689819,0.745466826646,0.745466826646
0.6,0.911450936905,0.950430122434,0.74564476845,0.74564476845
0.7,0.911628547873,0.950614686076,0.745874098417,0.745874098417
0.8,0.911628547873,0.950614686076,0.745874098417,0.745874098417
0.9,0.911628547873,0.950614686076,0.745874098417,0.745874098417
1.0,0.911628547873,0.950614686076,0.745874098417,0.745874098417
