alpha_nL,diffusion_cosine_similarity_RMSE.ByUser_improvement,diffusion_cosine_similarity_RMSE.ByUser_average,diffusion_cosine_similarity_RMSE.ByRating_improvement,diffusion_cosine_similarity_RMSE.ByRating_average,diffusion_cosine_similarity_MAE.ByUser_improvement,diffusion_cosine_similarity_MAE.ByUser_average,diffusion_cosine_similarity_MAE.ByRating_improvement,diffusion_cosine_similarity_MAE.ByRating_average,diffusion_norm_cosine_similarity_RMSE.ByUser_improvement,diffusion_norm_cosine_similarity_RMSE.ByUser_average,diffusion_norm_cosine_similarity_RMSE.ByRating_improvement,diffusion_norm_cosine_similarity_RMSE.ByRating_average,diffusion_norm_cosine_similarity_MAE.ByUser_improvement,diffusion_norm_cosine_similarity_MAE.ByUser_average,diffusion_norm_cosine_similarity_MAE.ByRating_improvement,diffusion_norm_cosine_similarity_MAE.ByRating_average,regular_cosine_similarity_RMSE.ByUser_improvement,regular_cosine_similarity_RMSE.ByUser_average,regular_cosine_similarity_RMSE.ByRating_improvement,regular_cosine_similarity_RMSE.ByRating_average,regular_cosine_similarity_MAE.ByUser_improvement,regular_cosine_similarity_MAE.ByUser_average,regular_cosine_similarity_MAE.ByRating_improvement,regular_cosine_similarity_MAE.ByRating_average
0.5,0.126391636626,0.919456548102,0.0643480242185,0.918700536343,0.122623771172,0.750082486883,0.0390111769466,0.71744583119,0.372900549625,0.917187137414,0.346389923737,0.916107747491,0.429388810693,0.74777867102,0.403317749552,0.714831108838,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1.0,0.0131240743475,0.920499312087,-0.118946705778,0.920385550284,-0.0627632064855,0.75147474938,-0.217867633983,0.719289516754,0.533449941707,0.915709087384,0.54276881047,0.914302451933,0.602696719991,0.746477122736,0.61782182913,0.713291557664,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
2.0,-0.163193098669,0.922122523483,-0.409200986263,0.923053834904,-0.319405549518,0.753402142091,-0.631803444918,0.722260440965,0.681665616197,0.914344584042,0.696546457684,0.912888786198,0.795726124223,0.745027465356,0.799395457895,0.71198835684,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
3.0,-0.248216387076,0.922905264995,-0.577861106371,0.924604314034,-0.451562708502,0.754394646842,-0.864078596361,0.723927539711,0.784333548465,0.913399402385,0.771403990584,0.912200626824,0.88043816808,0.74439127503,0.862078363137,0.711538465442,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
4.0,-0.325163573524,0.923613656287,-0.710153471525,0.925820467273,-0.551739071962,0.755146974734,-1.04130069048,0.725199508447,0.803475687739,0.913223175997,0.772571736235,0.912189891831,0.909983315245,0.744169389972,0.878622828048,0.711419721545,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
5.0,-0.358708024469,0.923922473257,-0.795708801265,0.926606970646,-0.606765828113,0.755560227541,-1.14619140395,0.725952336185,0.824584846545,0.913028840831,0.768942317656,0.912223256789,0.960669698384,0.743788733513,0.885693458382,0.711368973805,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
6.0,-0.280413770234,0.923201680588,-0.815419203232,0.926788166811,-0.564716074031,0.75524443246,-1.19283015946,0.726287074578,0.812972604292,0.913135745471,0.736090300214,0.912525262784,0.958249848049,0.743806906672,0.876736351739,0.711433261272,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
7.0,-0.28269369071,0.923222669995,-0.850426344349,0.927109984687,-0.570401868771,0.755287132971,-1.2068176441,0.726387466367,0.779196631181,0.91344669388,0.689103592228,0.91295720787,0.926670182325,0.744044071033,0.824534802206,0.711807925274,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
8.0,-0.307342310912,0.923449590155,-0.896829668744,0.927536566774,-0.608596776245,0.755573978023,-1.2604926966,0.726772706081,0.761106917305,0.913613231428,0.665421709662,0.913174913542,0.894153101946,0.744288275411,0.781645403824,0.712115753562,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
9.0,-0.320246861133,0.923568392043,-0.914801536785,0.927701780734,-0.626165402526,0.755705919003,-1.28118570624,0.726921225155,0.721689141104,0.913976119413,0.594152353597,0.91383008709,0.833124168645,0.744746604773,0.693830513435,0.712746023708,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10.0,-0.31875046666,0.923554615934,-0.934702133415,0.927884725344,-0.616299068059,0.755631822496,-1.29625674895,0.72702939392,0.695142972114,0.91422050879,0.544210594341,0.914289197728,0.797162004183,0.745016681849,0.629871304714,0.713205075466,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
100.0,-0.559384010781,0.925769936793,-1.32641956687,0.931485752696,-0.842207508482,0.757328402555,-1.68533333047,0.729821897023,-2.67619485166,0.945257723613,-3.30123957912,0.949640116715,-2.9398618141,0.773081857617,-3.73973950926,0.744566900708,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
1000.0,-0.638003347748,0.926493722239,-1.42492598139,0.932391314365,-0.875771687357,0.757580470678,-1.75109615997,0.730293893833,-3.22611562958,0.950320405021,-3.75376815555,0.953800176089,-3.74733346088,0.779145997103,-4.41282714621,0.749397824499,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
10000000000.0,-0.637763902456,0.926491517857,-1.42406752399,0.932383422634,-0.879108467648,0.757605530011,-1.75437330266,0.730317414732,-3.38298870923,0.951764610178,-3.78348928767,0.954073400104,-4.03682993184,0.78132012543,-4.55510521108,0.750418990914,0.0,0.920620134958,0.0,0.919292082635,0.0,0.751003395568,0.0,0.717725824481
