alpha_nL,diffusion_norm_pearson_similarity_RMSE.ByUser_improvement,diffusion_norm_pearson_similarity_RMSE.ByUser_average,diffusion_norm_pearson_similarity_RMSE.ByRating_improvement,diffusion_norm_pearson_similarity_RMSE.ByRating_average,diffusion_norm_pearson_similarity_MAE.ByUser_improvement,diffusion_norm_pearson_similarity_MAE.ByUser_average,diffusion_norm_pearson_similarity_MAE.ByRating_improvement,diffusion_norm_pearson_similarity_MAE.ByRating_average,regular_pearson_similarity_RMSE.ByUser_improvement,regular_pearson_similarity_RMSE.ByUser_average,regular_pearson_similarity_RMSE.ByRating_improvement,regular_pearson_similarity_RMSE.ByRating_average,regular_pearson_similarity_MAE.ByUser_improvement,regular_pearson_similarity_MAE.ByUser_average,regular_pearson_similarity_MAE.ByRating_improvement,regular_pearson_similarity_MAE.ByRating_average
0.5,0.426277475172,0.901806770575,0.458084317311,0.914566418723,0.486605893201,0.738089464594,0.503830388806,0.714419737402,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
1.0,0.635959430055,0.89990774941,0.654654417012,0.912760381428,0.748892902272,0.736144085483,0.740357681821,0.71272138291,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
2.0,0.763391183194,0.89875364153,0.799368664436,0.911430782835,0.946909797224,0.734675396918,0.957865486399,0.711159595464,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
3.0,0.765274923145,0.898736581111,0.828861198017,0.911159812756,0.981011928136,0.734422461886,0.999005660413,0.710864193617,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
4.0,0.726088940007,0.899091475796,0.801975270528,0.911406833985,0.974358417726,0.734471810881,0.976961711179,0.711022477423,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
5.0,0.665953109026,0.899636106429,0.758259297561,0.911808485496,0.931529659163,0.734789471189,0.940819278693,0.711281993615,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
6.0,0.61644866394,0.900084452063,0.709316210013,0.912258162439,0.88021941549,0.735170038555,0.886338523536,0.711673185829,0.0,0.905667426815,0.0,0.918775183751,0.0,0.741698613758,0.0,0.718037428168
