alpha_nL,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.257206134071,0.995377300619,-0.184649793233,1.00375737571,-0.201812544316,0.819139437597,-0.163323837106,0.795349892324,-0.09791807221,0.993795850994,-0.0703050506833,1.00261174732,-0.125584892155,0.818516284438,-0.113213293858,0.794951988045,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1.0,-0.299952118479,0.995801692881,-0.252485652943,1.00443702817,-0.308320135921,0.820010126126,-0.293875779748,0.79638654396,-0.255361836781,0.995358989998,-0.19366800805,1.00384772986,-0.330048233216,0.82018775107,-0.281759920006,0.796290337611,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
2.0,-0.161250890824,0.994424634225,-0.164756174421,1.00355806008,-0.231191773397,0.819379609752,-0.247641814253,0.796019421764,-0.336314994102,0.996162712128,-0.265099744701,1.00456340969,-0.395062139683,0.820719233021,-0.364891965936,0.796950450128,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
3.0,-0.143134349424,0.994244768909,-0.102054150671,1.00292984389,-0.263666613881,0.819645088209,-0.201058517105,0.795649525688,-0.392066944612,0.996716230704,-0.346388812743,1.00537785084,-0.467551124653,0.821311822964,-0.425894998218,0.797434846544,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
4.0,-0.0867848875465,0.993685318098,0.00991351320024,1.00180803163,-0.213791173172,0.819237361647,-0.0800143448612,0.79468837079,-0.405481166314,0.996849410276,-0.358430205928,1.00549849444,-0.487559315763,0.821475387853,-0.447179195035,0.797603854351,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
5.0,-0.0835019029907,0.993652723849,0.0600089206992,1.00130612205,-0.231355123524,0.819380945122,-0.0134846872415,0.794160090038,-0.322917771479,0.996029701327,-0.270124426083,1.00461375234,-0.417370521378,0.82090160173,-0.351139043501,0.796841244632,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
6.0,0.0387968734242,0.992438512616,0.135794826348,1.00054681749,-0.125242878359,0.81851348851,0.0653756592347,0.79353389708,-0.210712596406,0.994915701759,-0.178190346009,1.00369265803,-0.313333774366,0.820051112101,-0.278020191634,0.796260642185,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
7.0,0.124568854899,0.991586948058,0.200103738205,0.999902501772,-0.0385039752816,0.817804406963,0.158976362752,0.792790657872,-0.212108843015,0.994929564026,-0.14095957256,1.00331964017,-0.296510599818,0.819913584391,-0.207564818902,0.795701189174,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
8.0,0.190620600497,0.990931170676,0.271354048994,0.999188639667,0.0141057895642,0.817374327585,0.232058747841,0.79221034499,-0.15686789182,0.994381118772,-0.0723719852876,1.00263245609,-0.249547451211,0.819529665516,-0.125056383567,0.795046028456,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
9.0,0.248281460493,0.990358699994,0.355571930655,0.998344854516,0.0841157328947,0.816802003551,0.331914520976,0.791417437213,-0.151599862019,0.994328816524,-0.0773219728845,1.00268205038,-0.282779471444,0.819801333839,-0.120480712827,0.795009695205,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
10.0,0.20472656971,0.99079112327,0.374096037796,0.998159260124,0.0557112530824,0.817034207231,0.350364614703,0.791270933688,-0.0470336438727,0.993290658331,-0.00549495346924,1.00196241019,-0.161841113788,0.818812675294,-0.0423723988731,0.794389473783,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
100.0,1.12876044481,0.981617095989,1.27674797299,0.989115523988,1.09523678108,0.808536193724,1.50164408631,0.782129164339,2.25505621952,0.970434964637,2.96597092019,0.972191075023,2.54490464729,0.79668530909,3.49151979348,0.766328496301,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
1000.0,1.78655269584,0.975086378642,1.95755418155,0.982294476505,1.78944214942,0.802861136751,2.2354429442,0.776302412387,3.48523310364,0.958221477014,3.94026480172,0.962429552956,3.72483176435,0.787039527137,4.54662678614,0.75795038742,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
10000000000.0,2.30618492351,0.969927346748,2.62514046573,0.975605880417,2.3819841406,0.798017167355,2.99192184825,0.770295568846,3.70828644848,0.95600695055,4.14825442849,0.960345689586,4.0591848669,0.784306225159,4.83296472331,0.755676712399,0.0,0.992823697169,0.0,1.00190735584,0.0,0.817489640954,0.0,0.794053014473
