threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.05,0.906145609236,0.94452654464,0.73917974873,0.73917974873
0.075,0.90609479129,0.944655430281,0.739349574145,0.739349574145
0.1,0.906674753822,0.945265669709,0.740338126542,0.740338126542
0.125,0.907661200938,0.946274368319,0.741466951139,0.741466951139
0.15,0.908459526929,0.947203643728,0.74231879478,0.74231879478
0.2,0.909118988133,0.947788534374,0.743289804714,0.743289804714
0.3,0.910411723435,0.949130310572,0.744750520542,0.744750520542
0.4,0.911090840237,0.949953882041,0.745652027424,0.745652027424
0.5,0.91147673969,0.950401154451,0.745874462648,0.745874462648
0.6,0.911767829539,0.950673572656,0.746131307814,0.746131307814
0.7,0.911769947008,0.950673230657,0.746130331614,0.746130331614
0.8,0.911769947008,0.950673230657,0.746130331614,0.746130331614
0.9,0.911769947008,0.950673230657,0.746130331614,0.746130331614
1.0,0.911769947008,0.950673230657,0.746130331614,0.746130331614
