alpha,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
1.0,0.9099868108,0.948927377606,0.744401263542,0.744401263542
2.0,0.908322118453,0.947168896442,0.742233578962,0.742233578962
3.0,0.907333202922,0.946061853452,0.740992529507,0.740992529507
4.0,0.906674753822,0.945265669709,0.740338126542,0.740338126542
5.0,0.906578070421,0.945131087447,0.739951838575,0.739951838575
6.0,0.906519126112,0.944903765646,0.739677899018,0.739677899018
7.0,0.906901543957,0.945279368805,0.73976516146,0.73976516146
8.0,0.906957524396,0.945296636079,0.739784852771,0.739784852771
9.0,0.90703727149,0.945319090832,0.739783332869,0.739783332869
10.0,0.907148709291,0.945412700299,0.739868642841,0.739868642841
13.0,0.907714616905,0.946050355025,0.740529792257,0.740529792257
14.0,0.90792230063,0.946352710899,0.740654209303,0.740654209303
15.0,0.907930466028,0.946351335237,0.740844042903,0.740844042903
16.0,0.9082185521,0.946667455775,0.741275269259,0.741275269259
17.0,0.90835131082,0.946822885664,0.741463205211,0.741463205211
