alpha_nL,diffusion_distance_similarity_RMSE.ByUser_improvement,diffusion_distance_similarity_RMSE.ByUser_average,diffusion_distance_similarity_RMSE.ByRating_improvement,diffusion_distance_similarity_RMSE.ByRating_average,diffusion_distance_similarity_MAE.ByUser_improvement,diffusion_distance_similarity_MAE.ByUser_average,diffusion_distance_similarity_MAE.ByRating_improvement,diffusion_distance_similarity_MAE.ByRating_average,diffusion_norm_distance_similarity_RMSE.ByUser_improvement,diffusion_norm_distance_similarity_RMSE.ByUser_average,diffusion_norm_distance_similarity_RMSE.ByRating_improvement,diffusion_norm_distance_similarity_RMSE.ByRating_average,diffusion_norm_distance_similarity_MAE.ByUser_improvement,diffusion_norm_distance_similarity_MAE.ByUser_average,diffusion_norm_distance_similarity_MAE.ByRating_improvement,diffusion_norm_distance_similarity_MAE.ByRating_average,regular_distance_similarity_RMSE.ByUser_improvement,regular_distance_similarity_RMSE.ByUser_average,regular_distance_similarity_RMSE.ByRating_improvement,regular_distance_similarity_RMSE.ByRating_average,regular_distance_similarity_MAE.ByUser_improvement,regular_distance_similarity_MAE.ByUser_average,regular_distance_similarity_MAE.ByRating_improvement,regular_distance_similarity_MAE.ByRating_average
0.5,-0.0971449831116,0.996516998151,-0.0399063903162,1.01077487145,-0.0318769876968,0.819163159392,0.0529946343806,0.798483125333,-0.547083131989,1.00099635681,-0.559074376202,1.0160203977,-0.565335235377,0.823531660282,-0.625737267172,0.803905558632,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
1.0,-0.00555880160389,0.995605212039,0.120094774457,1.00915826502,0.0898612274291,0.81816624257,0.23678249065,0.797014832198,-0.879432213477,1.00430505767,-0.914964887759,1.0196162146,-0.89979709633,0.826270575545,-1.0153201426,0.807017961558,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
2.0,0.0576277062899,0.994976158841,0.250330871272,1.00784239639,0.0528076610582,0.81846967501,0.333419239469,0.796242794927,-1.16840506606,1.00718192653,-1.24679068784,1.02296888847,-1.16806654016,0.828467439703,-1.36942505873,0.80984692876,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
3.0,0.0640687901128,0.994912034639,0.318275114754,1.00715590701,0.0970138973282,0.818107669205,0.459378709716,0.795236496528,-1.42704569651,1.00975682299,-1.47560261111,1.02528073932,-1.42567146522,0.83057697189,-1.62811851194,0.81191364758,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
4.0,0.0187164437692,0.995363539865,0.372392789341,1.00660911735,0.044661152824,0.818536386938,0.501771172255,0.794897820388,-1.65037627455,1.01198019028,-1.57854377422,1.02632082766,-1.60638678811,0.832056853497,-1.72610524201,0.812696469939,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
5.0,0.00857868426496,0.995464466316,0.368604339154,1.00664739478,0.0198340294438,0.818739696778,0.472276642658,0.795133454103,-1.81112191403,1.01358049328,-1.58781115976,1.0264144627,-1.79350293584,0.833589151594,-1.778811727,0.813117545475,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
6.0,0.0403355725488,0.995148310656,0.425296693125,1.0060745913,0.0745253178342,0.818291828659,0.523349867837,0.794725426786,-1.91529343652,1.01461757274,-1.55873409176,1.02612067624,-1.94298646527,0.834813275383,-1.77394688853,0.813078679964,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
7.0,-0.0190836186151,0.995739858337,0.40827836347,1.00624653968,0.00274154177676,0.818879667521,0.505866782792,0.794865100289,-1.97680459744,1.01522994702,-1.53511738808,1.02588205976,-2.01412854925,0.835395859415,-1.74132597163,0.812818069337,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
8.0,-0.0540179251168,0.996087646781,0.421308865327,1.00611488318,-0.029329536091,0.819142298257,0.545927006366,0.794545056558,-1.98026906917,1.01526443757,-1.46378601072,1.02516134773,-1.97532028344,0.835078057705,-1.64172258259,0.812022331385,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
9.0,-0.0370482583224,0.995918705285,0.436088418564,1.00596555476,-0.0175078510925,0.819045490228,0.570409184792,0.794349466843,-1.9749374776,1.01521135892,-1.35664395203,1.02407881473,-1.96219533443,0.834970577219,-1.52551183677,0.81109391618,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
10.0,-0.0902110767277,0.996447967655,0.426887034076,1.00605852294,-0.032122442719,0.819165169429,0.571080044418,0.794344107301,-2.02946243484,1.01575418206,-1.27874139952,1.02329170941,-2.00218714562,0.835298071008,-1.43200765128,0.810346905161,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
100.0,0.554959628239,0.990024971531,1.05156193503,0.999746984724,0.673154080958,0.813389645038,1.2468654073,0.788945214092,3.19784039443,0.963713775462,3.98441508756,0.970114267389,3.62081040453,0.789251224971,4.68183286391,0.761503035708,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
1000.0,0.742562290387,0.98815729347,1.22177013612,0.998027249282,0.841516364551,0.812010922732,1.39956691303,0.787725271832,4.31606158178,0.95258132587,5.0327725478,0.959521960625,4.6891908366,0.780502234984,5.80470786463,0.752532314308,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
10000000000.0,0.773470317035,0.98784958865,1.25630700099,0.997678298584,0.897951277654,0.811548776033,1.46143638357,0.787230992609,4.61577085761,0.94959757056,5.22673776295,0.957562191044,5.00153075875,0.777944476746,5.99153544938,0.751039736584,0.0,0.995549871397,0.0,1.01037166859,0.0,0.818902118065,0.0,0.798906502913
