threshold,RMSE.ByUser,RMSE.ByRating,MAE.ByUser,MAE.ByRating
0.05,0.936877031765,0.975967575225,0.771627928755,0.771627928755
0.075,0.928711086286,0.967937441997,0.763468275732,0.763468275732
0.1,0.928219849173,0.967419699925,0.763121352844,0.763121352844
0.125,0.926376448293,0.965474601936,0.762172329986,0.762172329986
0.15,0.92607891696,0.965291949305,0.762208402693,0.762208402693
0.2,0.926163372934,0.965401390268,0.7621905223,0.7621905223
0.3,0.926171645252,0.965409779664,0.762508455373,0.762508455373
0.4,0.926362485187,0.965635756434,0.763007300377,0.763007300377
0.5,0.92653774405,0.965754877527,0.76321506651,0.76321506651
0.6,0.926665640594,0.965899215834,0.763332030431,0.763332030431
0.7,0.926635050445,0.965877693833,0.763320825812,0.763320825812
0.8,0.926635050445,0.965877693833,0.763320825812,0.763320825812
0.9,0.926635050445,0.965877693833,0.763320825812,0.763320825812
1.0,0.926635050445,0.965877693833,0.763320825812,0.763320825812
